dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
epoch 151 | train ACC 94.1176 % | test ACC 75.0 % | train loss 0.0064
epoch 161 | train ACC 76.4706 % | test ACC 72.0588 % | train loss 0.0065
epoch 171 | train ACC 82.3529 % | test ACC 54.4118 % | train loss 0.0071
epoch 181 | train ACC 94.1176 % | test ACC 76.4706 % | train loss 0.0045
epoch 191 | train ACC 58.8235 % | test ACC 54.4118 % | train loss 0.0092
4layers, Final test  ACC: 73.5294 %
hd:8, dp:0.4, wd:0.005, layer 5 
epoch 1 | train ACC 29.4118 % | test ACC 29.4118 % | train loss 0.0091
epoch 11 | train ACC 58.8235 % | test ACC 70.5882 % | train loss 0.0083
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0075
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0073
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0065
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0055
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0052
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0054
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.007
epoch 121 | train ACC 76.4706 % | test ACC 75.0 % | train loss 0.0066
epoch 131 | train ACC 94.1176 % | test ACC 77.9412 % | train loss 0.0067
epoch 141 | train ACC 70.5882 % | test ACC 79.4118 % | train loss 0.0054
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0047
epoch 161 | train ACC 70.5882 % | test ACC 75.0 % | train loss 0.0051
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0046
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0046
epoch 191 | train ACC 70.5882 % | test ACC 70.5882 % | train loss 0.0043
5layers, Final test  ACC: 29.4118 %
hd:8, dp:0.4, wd:0.005, layer 6 
epoch 1 | train ACC 17.6471 % | test ACC 38.2353 % | train loss 0.0091
epoch 11 | train ACC 70.5882 % | test ACC 57.3529 % | train loss 0.0083
epoch 21 | train ACC 64.7059 % | test ACC 66.1765 % | train loss 0.0082
