dataset: CLL_SUB | 3 classes | 11340 features | deivce: cpu
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0077
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0087
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0089
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.009
7layers, Final test  ACC: 53.3333 %
hd:8, dp:0.4, wd:0.005, layer 8 
epoch 1 | train ACC 19.0476 % | test ACC 23.3333 % | train loss 0.0106
epoch 11 | train ACC 47.619 % | test ACC 33.3333 % | train loss 0.01
epoch 21 | train ACC 33.3333 % | test ACC 27.7778 % | train loss 0.0099
epoch 31 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0098
epoch 61 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0085
epoch 71 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0088
epoch 81 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0076
epoch 91 | train ACC 42.8571 % | test ACC 41.1111 % | train loss 0.0076
epoch 101 | train ACC 38.0952 % | test ACC 48.8889 % | train loss 0.0073
epoch 111 | train ACC 33.3333 % | test ACC 50.0 % | train loss 0.0101
epoch 121 | train ACC 52.381 % | test ACC 52.2222 % | train loss 0.0078
epoch 131 | train ACC 71.4286 % | test ACC 48.8889 % | train loss 0.0075
epoch 141 | train ACC 47.619 % | test ACC 57.7778 % | train loss 0.0074
epoch 151 | train ACC 38.0952 % | test ACC 43.3333 % | train loss 0.0082
epoch 161 | train ACC 66.6667 % | test ACC 60.0 % | train loss 0.0068
epoch 171 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0064
epoch 181 | train ACC 57.1429 % | test ACC 55.5556 % | train loss 0.0069
epoch 191 | train ACC 61.9048 % | test ACC 55.5556 % | train loss 0.0087
8layers, Final test  ACC: 55.5556 %
