dataset: ALLAML | 2 classes | 7129 features | deivce: cpu
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0063
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0064
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0071
6layers, Final test  ACC: 65.5172 %
hd:8, dp:0.4, wd:0.005, layer 7 
epoch 1 | train ACC 57.1429 % | test ACC 63.7931 % | train loss 0.0107
epoch 11 | train ACC 42.8571 % | test ACC 65.5172 % | train loss 0.0131
epoch 21 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0111
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0095
epoch 41 | train ACC 64.2857 % | test ACC 60.3448 % | train loss 0.0084
epoch 51 | train ACC 57.1429 % | test ACC 63.7931 % | train loss 0.0093
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0071
epoch 121 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0079
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0073
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0066
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
7layers, Final test  ACC: 65.5172 %
hd:8, dp:0.4, wd:0.005, layer 8 
epoch 1 | train ACC 35.7143 % | test ACC 37.931 % | train loss 0.0114
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0093
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0082
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0082
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0082
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0079
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0081
